期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
ANNALS OF INTERNAL MEDICINE	15.2	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0003-4819	1539-3704	1
Annals of Laboratory Medicine	3.9	Q1	MEDICAL LABORATORY TECHNOLOGY(SCIE)	2234-3806	2234-3814	2
ANNALS OF MEDICINE	4.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0785-3890	1365-2060	2
ANNALS OF MICROBIOLOGY	3.4	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	1590-4261	1869-2044	3
ANNALS OF NEUROLOGY	7.7	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	0364-5134	1531-8249	1
ANNALS OF ONCOLOGY	65.4	Q1	ONCOLOGY(SCIE)	0923-7534	1569-8041	1
Annals of Pediatric Endocrinology & Metabolism	3.3	Q1	ENDOCRINOLOGY & METABOLISM(ESCI);PEDIATRICS(ESCI)	2287-1012	2287-1292	3
Annals of Physical and Rehabilitation Medicine	4.6	Q1	REHABILITATION(SCIE)	1877-0657	1877-0665	2
ANNALS OF STATISTICS	3.7	Q1	STATISTICS & PROBABILITY(SCIE)	0090-5364	N/A	1
ANNALS OF SURGERY	6.4	Q1	SURGERY(SCIE)	0003-4932	1528-1140	1
ANNALS OF SURGICAL ONCOLOGY	3.5	Q1	ONCOLOGY(SCIE);SURGERY(SCIE)	1068-9265	1534-4681	2
Annals of the American Thoracic Society	5.4	Q1	RESPIRATORY SYSTEM(SCIE)	2329-6933	2325-6621	2
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	4.8	Q1	MULTIDISCIPLINARY SCIENCES(SCIE)	0077-8923	1749-6632	2
ANNALS OF THE RHEUMATIC DISEASES	20.6	Q1	RHEUMATOLOGY(SCIE)	0003-4967	1468-2060	1
ANNALS OF THORACIC SURGERY	3.9	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RESPIRATORY SYSTEM(SCIE);SURGERY(SCIE)	0003-4975	1552-6259	2
Annual Review of Biochemistry	20.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0066-4154	1545-4509	1
Annual Review of Biomedical Data Science	6	Q1	MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	2574-3414	2574-3414	2
Annual Review of Cancer Biology	6.1	Q1	ONCOLOGY(SCIE)	2472-3428	2472-3428	2
Annual Review of Cell and Developmental Biology	11.4	Q1	CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE)	1081-0706	1530-8995	1
Annual Review of Clinical Psychology	16.5	Q1	PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	1548-5943	1548-5951	1
Annual Review of Genetics	8.6	Q1	GENETICS & HEREDITY(SCIE)	0066-4197	1545-2948	1
Annual Review of Genomics and Human Genetics	7.9	Q1	GENETICS & HEREDITY(SCIE)	1527-8204	1545-293X	1
Annual Review of Immunology	33.3	Q1	IMMUNOLOGY(SCIE)	0732-0582	1545-3278	1
Annual Review of Medicine	22.1	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0066-4219	1545-326X	1
Annual Review of Microbiology	9.9	Q1	MICROBIOLOGY(SCIE)	0066-4227	1545-3251	1
Annual Review of Neuroscience	13.2	Q1	NEUROSCIENCES(SCIE)	0147-006X	1545-4126	1
Annual Review of Nutrition	13.4	Q1	NUTRITION & DIETETICS(SCIE)	0199-9885	1545-4312	1
Annual Review of Pathology-Mechanisms of Disease	34.5	Q1	PATHOLOGY(SCIE)	1553-4006	1553-4014	1
Annual Review of Pharmacology and Toxicology	13.1	Q1	PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	0362-1642	1545-4304	1
Annual Review of Physiology	19.1	Q1	PHYSIOLOGY(SCIE)	0066-4278	1545-1585	1
Annual Review of Psychology	29.4	Q1	PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0066-4308	1545-2085	1
Annual Review of Virology	8.3	Q1	VIROLOGY(SCIE)	2327-056X	2327-0578	1
Annual Review of Vision Science	5.5	Q1	NEUROSCIENCES(SCIE);OPHTHALMOLOGY(SCIE)	2374-4642	2374-4650	2
Antibiotics-Basel	4.6	Q1	INFECTIOUS DISEASES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2079-6382	2079-6382	3
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY	4.5	Q1	MICROBIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0066-4804	1098-6596	2
ANTIOXIDANTS & REDOX SIGNALING	6.1	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	1523-0864	1557-7716	2
ANTIVIRAL RESEARCH	4	Q1	PHARMACOLOGY & PHARMACY(SCIE);VIROLOGY(SCIE)	0166-3542	1872-9096	2
APOPTOSIS	8.1	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1360-8185	1573-675X	2
APPETITE	3.8	Q1	BEHAVIORAL SCIENCES(SCIE);NUTRITION & DIETETICS(SCIE)	0195-6663	1095-8304	2
APPLIED AND ENVIRONMENTAL MICROBIOLOGY	3.7	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	0099-2240	1098-5336	2
